,predicted_labels,true_labels
370,1,1
560,4,1
1007,3,3
589,1,1
983,3,3
277,0,0
306,4,0
51,0,0
811,2,2
1384,4,6
857,3,3
1213,4,5
839,3,3
44,0,0
497,1,1
579,2,1
1182,4,5
203,4,0
377,3,1
710,2,2
374,1,1
599,1,1
1141,6,4
220,0,0
1416,4,6
70,0,0
1244,4,5
885,3,3
901,2,3
844,3,3
554,1,1
78,0,0
1161,5,5
838,4,3
1226,6,5
423,1,1
275,1,0
259,0,0
745,0,2
163,0,0
654,4,2
1246,5,5
759,4,2
382,1,1
1061,3,3
1032,4,3
670,2,2
1034,3,3
1121,4,4
799,4,2
430,1,1
29,0,0
1367,3,6
998,3,3
1018,3,3
67,0,0
49,0,0
342,0,0
973,3,3
297,0,0
591,1,1
622,1,1
1094,4,4
76,0,0
192,4,0
575,1,1
1308,4,5
371,1,1
101,0,0
1023,6,3
411,1,1
1209,5,5
943,3,3
1134,4,4
168,0,0
1149,5,5
889,4,3
1066,4,3
583,1,1
700,2,2
1423,6,6
755,1,2
829,4,3
1388,6,6
1372,6,6
714,2,2
1414,0,6
892,3,3
912,3,3
218,0,0
1322,6,6
231,0,0
233,0,0
115,0,0
1030,2,3
346,0,0
908,3,3
1191,4,5
1096,4,4
1262,5,5
123,0,0
1307,4,5
1155,2,5
43,0,0
1355,6,6
597,1,1
610,1,1
1117,4,4
819,2,2
1165,4,5
361,1,1
1391,0,6
1250,4,5
715,3,2
1177,4,5
875,3,3
965,3,3
240,0,0
353,1,1
1041,3,3
65,0,0
244,0,0
968,4,3
903,4,3
733,3,2
506,4,1
1225,4,5
462,4,1
967,3,3
316,0,0
32,4,0
1229,5,5
380,1,1
367,1,1
237,0,0
198,0,0
669,2,2
435,1,1
1137,4,4
239,4,0
817,2,2
1100,4,4
184,0,0
534,1,1
1276,4,5
1111,4,4
770,4,2
617,1,1
274,0,0
358,1,1
63,0,0
271,2,0
514,1,1
1027,3,3
948,3,3
1378,0,6
782,4,2
650,0,2
1282,4,5
30,0,0
56,4,0
1156,5,5
846,4,3
930,3,3
1054,3,3
584,1,1
704,2,2
774,2,2
561,1,1
602,1,1
479,4,1
1205,2,5
1193,5,5
764,4,2
99,0,0
428,1,1
873,3,3
836,3,3
573,2,1
845,4,3
322,0,0
208,0,0
677,4,2
1092,4,4
453,1,1
678,2,2
1286,4,5
1406,6,6
680,6,2
1090,4,4
950,3,3
1178,6,5
451,1,1
1176,5,5
939,0,3
614,1,1
58,0,0
247,0,0
289,0,0
665,2,2
23,0,0
107,0,0
413,1,1
1319,3,6
1218,5,5
852,3,3
332,0,0
1278,6,5
944,4,3
1217,4,5
1103,4,4
1383,4,6
1295,4,5
643,2,2
1010,4,3
636,4,2
982,3,3
196,0,0
867,4,3
128,0,0
1203,5,5
81,0,0
1343,6,6
478,1,1
1105,4,4
394,1,1
705,2,2
111,0,0
1220,4,5
712,4,2
988,3,3
310,0,0
1114,4,4
1075,3,3
598,1,1
513,1,1
175,0,0
1067,4,3
1187,4,5
141,0,0
1089,4,4
1292,4,5
900,2,3
1049,6,3
350,0,0
882,4,3
628,4,1
1063,3,3
354,3,1
381,4,1
1422,6,6
949,3,3
485,1,1
270,0,0
344,0,0
261,0,0
351,0,0
538,1,1
551,1,1
1035,3,3
1197,5,5
620,1,1
624,4,1
691,2,2
254,0,0
1047,3,3
923,4,3
767,0,2
594,5,1
86,0,0
1360,6,6
265,2,0
1418,6,6
1366,3,6
1080,6,3
461,1,1
808,2,2
221,0,0
113,0,0
526,1,1
582,1,1
174,1,0
464,1,1
1375,6,6
1124,2,4
925,3,3
1052,3,3
471,1,1
493,1,1
1188,4,5
31,0,0
210,0,0
906,3,3
365,2,1
953,3,3
1415,4,6
303,0,0
188,0,0
1427,3,6
1315,6,6
1043,3,3
309,0,0
83,0,0
48,6,0
155,0,0
1336,6,6
1091,4,4
910,6,3
993,4,3
736,4,2
1174,5,5
494,1,1
179,4,0
324,0,0
1190,4,5
339,0,0
429,1,1
744,2,2
1125,4,4
1144,1,4
363,1,1
481,1,1
668,2,2
630,2,1
578,2,1
243,0,0
1417,3,6
783,2,2
926,3,3
813,2,2
1425,1,6
1359,6,6
1116,4,4
439,1,1
806,3,2
54,0,0
1270,0,5
590,1,1
312,0,0
1387,3,6
109,0,0
1101,0,4
567,1,1
1084,4,4
1142,4,4
621,1,1
296,0,0
824,4,2
862,3,3
1168,5,5
286,0,0
1374,3,6
777,2,2
126,0,0
916,6,3
292,0,0
664,2,2
535,1,1
355,1,1
