,predicted_labels,true_labels
370,1,1
560,1,1
1007,3,3
589,1,1
983,3,3
277,0,0
306,0,0
51,0,0
811,2,2
1384,6,6
857,3,3
1213,5,5
839,3,3
44,0,0
497,1,1
579,1,1
1182,5,5
203,0,0
377,1,1
710,2,2
374,1,1
599,1,1
1141,4,4
220,0,0
1416,6,6
70,0,0
1244,5,5
885,3,3
901,3,3
844,3,3
554,1,1
78,0,0
1161,5,5
838,3,3
1226,5,5
423,1,1
275,0,0
259,0,0
745,2,2
163,0,0
654,2,2
1246,5,5
759,2,2
382,1,1
1061,3,3
1032,3,3
670,2,2
1034,3,3
1121,4,4
799,2,2
430,1,1
29,0,0
1367,6,6
998,3,3
1018,3,3
67,0,0
49,0,0
342,0,0
973,3,3
297,0,0
591,1,1
622,1,1
1094,4,4
76,0,0
192,0,0
575,1,1
1308,5,5
371,1,1
101,0,0
1023,3,3
411,1,1
1209,5,5
943,3,3
1134,4,4
168,0,0
1149,5,5
889,3,3
1066,3,3
583,1,1
700,2,2
1423,6,6
755,2,2
829,3,3
1388,6,6
1372,6,6
714,2,2
1414,6,6
892,3,3
912,3,3
218,0,0
1322,6,6
231,0,0
233,0,0
115,0,0
1030,3,3
346,0,0
908,3,3
1191,5,5
1096,4,4
1262,5,5
123,0,0
1307,5,5
1155,5,5
43,0,0
1355,6,6
597,1,1
610,1,1
1117,4,4
819,2,2
1165,5,5
361,1,1
1391,6,6
1250,5,5
715,2,2
1177,5,5
875,3,3
965,3,3
240,0,0
353,1,1
1041,3,3
65,0,0
244,0,0
968,3,3
903,3,3
733,2,2
506,1,1
1225,5,5
462,1,1
967,3,3
316,0,0
32,0,0
1229,5,5
380,1,1
367,1,1
237,0,0
198,0,0
669,2,2
435,1,1
1137,4,4
239,0,0
817,2,2
1100,4,4
184,0,0
534,1,1
1276,5,5
1111,4,4
770,2,2
617,1,1
274,0,0
358,1,1
63,0,0
271,0,0
514,1,1
1027,3,3
948,3,3
1378,6,6
782,2,2
650,2,2
1282,5,5
30,0,0
56,0,0
1156,5,5
846,3,3
930,3,3
1054,3,3
584,1,1
704,2,2
774,2,2
561,1,1
602,1,1
479,1,1
1205,5,5
1193,5,5
764,2,2
99,0,0
428,1,1
873,3,3
836,3,3
573,1,1
845,3,3
322,0,0
208,0,0
677,2,2
1092,4,4
453,1,1
678,2,2
1286,5,5
1406,6,6
680,2,2
1090,4,4
950,3,3
1178,5,5
451,1,1
1176,5,5
939,3,3
614,1,1
58,0,0
247,0,0
289,0,0
665,2,2
23,0,0
107,0,0
413,1,1
1319,6,6
1218,5,5
852,3,3
332,0,0
1278,5,5
944,3,3
1217,5,5
1103,4,4
1383,6,6
1295,5,5
643,2,2
1010,3,3
636,2,2
982,3,3
196,0,0
867,3,3
128,0,0
1203,5,5
81,0,0
1343,6,6
478,1,1
1105,4,4
394,1,1
705,2,2
111,0,0
1220,5,5
712,2,2
988,3,3
310,0,0
1114,4,4
1075,3,3
598,1,1
513,1,1
175,0,0
1067,3,3
1187,5,5
141,0,0
1089,4,4
1292,5,5
900,3,3
1049,3,3
350,0,0
882,3,3
628,1,1
1063,3,3
354,1,1
381,1,1
1422,6,6
949,3,3
485,1,1
270,0,0
344,0,0
261,0,0
351,0,0
538,1,1
551,1,1
1035,3,3
1197,5,5
620,1,1
624,1,1
691,2,2
254,0,0
1047,3,3
923,3,3
767,2,2
594,1,1
86,0,0
1360,6,6
265,0,0
1418,6,6
1366,6,6
1080,3,3
461,1,1
808,2,2
221,0,0
113,0,0
526,1,1
582,1,1
174,0,0
464,1,1
1375,6,6
1124,4,4
925,3,3
1052,3,3
471,1,1
493,1,1
1188,5,5
31,0,0
210,0,0
906,3,3
365,1,1
953,3,3
1415,6,6
303,0,0
188,0,0
1427,6,6
1315,6,6
1043,3,3
309,0,0
83,0,0
48,0,0
155,0,0
1336,6,6
1091,4,4
910,3,3
993,3,3
736,2,2
1174,5,5
494,1,1
179,0,0
324,0,0
1190,5,5
339,0,0
429,1,1
744,2,2
1125,4,4
1144,4,4
363,1,1
481,1,1
668,2,2
630,1,1
578,1,1
243,0,0
1417,6,6
783,2,2
926,3,3
813,2,2
1425,6,6
1359,6,6
1116,4,4
439,1,1
806,2,2
54,0,0
1270,5,5
590,1,1
312,0,0
1387,6,6
109,0,0
1101,4,4
567,1,1
1084,4,4
1142,4,4
621,1,1
296,0,0
824,2,2
862,3,3
1168,5,5
286,0,0
1374,6,6
777,2,2
126,0,0
916,3,3
292,0,0
664,2,2
535,1,1
355,1,1
